model;vendor;price;quantity
Samsung Galaxy S6/Edge; Samsung Electronics;274;3
Xiaomi Mi 9T; Xiaomi;388;6
Xiaomi Mi 9T; Xiaomi;388;7
Samsung Galaxy A9 (2016); Samsung Electronics;300;4
Pixel 3a/XL; Google;365;5
Pixel 3a/XL; Google;365;3
ZTE Director; ZTE;432;4
ZTE Blade G2; ZTE;243;7
HTC Desire V; HTC;359;5
Pixel 4a (5G); Google;469;3
ZTE Blade C V807; ZTE;229;3
Moto G (3rd generation); Motorola Mobility;206;6
LG K22; LG Electronics;315;6
Samsung Galaxy Note Edge; Samsung Electronics;264;6
Samsung Galaxy A9 (2016); Samsung Electronics;300;6
Pixel 5; Google;408;1
HTC Rezound; HTC;209;1
HTC Explorer; HTC;396;6
Samsung Galaxy A5 Duos; Samsung Electronics;200;6
HTC One S C2; HTC;462;5
Samsung Galaxy Xcover 3; Samsung Electronics;473;7
Moto X (2nd generation); Motorola Mobility;286;6
Samsung Galaxy A7/Duos; Samsung Electronics;426;8
Xiaomi Black Shark 2; Xiaomi;258;9
LG K42/K71; LG Electronics;416;6
Oppo Find; Oppo;334;3
Moto X (2nd generation); Motorola Mobility;286;2
LG K31; LG Electronics;270;1
BlackBerry Key2; BlackBerry Mobile;247;1
ZTE Blade G/Lux; ZTE;400;6
ZTE Blade V; ZTE;360;4
Samsung Galaxy A8/Duos; Samsung Electronics;402;2
ZTE Blade S6; ZTE;219;4
HTC Sensation XL; HTC;309;9
OnePlus 8 Pro; OnePlus;390;1
OnePlus 7T; OnePlus;341;9
HTC Sensation XE; HTC;481;3
Xiaomi Mi Note 10/Pro; Xiaomi;234;1
Samsung Galaxy A5; Samsung Electronics;428;9
Samsung Galaxy A5; Samsung Electronics;428;3
OnePlus Nord N100; OnePlus;397;8
Xiaomi Black Shark 2; Xiaomi;258;2
OnePlus 9 Pro; OnePlus;483;1
ZTE Blade G2; ZTE;243;8
Samsung Galaxy Note Edge; Samsung Electronics;264;2
HTC Salsa; HTC;257;9
Motorola Droid Turbo; Motorola Mobility;444;1
OnePlus 7T; OnePlus;341;4
LG K31; LG Electronics;270;2
Samsung Galaxy Note 5; Samsung Electronics;254;7
HTC Evo 4G LTE; HTC;477;6
Samsung Galaxy A3/Duos; Samsung Electronics;407;1
ZTE Blade L2; ZTE;244;4
Pixel 3a/XL; Google;365;5
Xiaomi Mi 9T Pro; Xiaomi;430;1
Motorola Droid Turbo; Motorola Mobility;444;5
Xiaomi Mi MIX 3 5G; Xiaomi;396;4
Pixel 3/XL; Google;272;5
Pixel 4a; Google;289;7
Xiaomi Mi 9T; Xiaomi;388;7
Samsung Galaxy A3/Duos; Samsung Electronics;407;3
BlackBerry Aurora; BlackBerry Mobile;429;9
Pixel 2/XL; Google;347;7
Xiaomi Mi 9 Pro/Pro 5G; Xiaomi;350;4
HTC One S; HTC;317;9
Xiaomi Mi 9T Pro; Xiaomi;430;5
Pixel 2/XL; Google;347;2
Samsung Galaxy S6/Edge; Samsung Electronics;274;4
OnePlus Nord N10 5G; OnePlus;414;4
HTC Desire VC; HTC;360;5
BlackBerry Key2; BlackBerry Mobile;247;3
Xiaomi Black Shark 2; Xiaomi;258;9
Moto E3; Motorola Mobility;341;4
Pixel 2/XL; Google;347;2
Pixel 3a/XL; Google;365;8
HTC Raider 4G; HTC;286;7
HTC One S C2; HTC;462;1
Xiaomi Black Shark 2 Pro; Xiaomi;346;3
HTC Explorer; HTC;396;9
HTC One V; HTC;240;3
BlackBerry Motion; BlackBerry Mobile;383;8
OnePlus 8 Pro; OnePlus;390;9
ZTE Blade G V880G; ZTE;274;9
Xiaomi Mi A3; Xiaomi;253;9
OnePlus 8 Pro; OnePlus;390;8
Pixel 2/XL; Google;347;3
BlackBerry Aurora; BlackBerry Mobile;429;7
Samsung Galaxy Note Edge; Samsung Electronics;264;3
LG K42/K71; LG Electronics;416;7
ZTE Blade G/Lux; ZTE;400;5
Xiaomi Mi 9/SE; Xiaomi;471;5
OnePlus 9; OnePlus;386;6
ZTE Blade C V807; ZTE;229;2
ZTE Blade V; ZTE;360;7
Moto E (2nd generation); Motorola Mobility;358;8
ZTE Blade L2; ZTE;244;9
LG Q61; LG Electronics;326;2
HTC One S C2; HTC;462;1
ZTE Blade L2; ZTE;244;7
Xiaomi Mi 9T Pro; Xiaomi;430;1
ZTE Blade G V880G; ZTE;274;5
ZTE Blade G2; ZTE;243;9
LG Q61; LG Electronics;326;7
Moto G4; Motorola Mobility;339;9
ZTE Director; ZTE;432;7
HTC Amaze 4G; HTC;227;6
Samsung Galaxy A7/Duos; Samsung Electronics;426;8
Samsung Galaxy A7/Duos; Samsung Electronics;426;4
HTC Amaze 4G; HTC;227;8
Moto G (2nd generation); Motorola Mobility;206;3
OnePlus Nord N10 5G; OnePlus;414;3
Moto X Style; Motorola Mobility;232;2
OnePlus 9; OnePlus;386;2
BlackBerry Aurora; BlackBerry Mobile;429;9
Pixel 4a (5G); Google;469;4
Samsung Galaxy A9 (2016); Samsung Electronics;300;6
HTC Sensation XL; HTC;309;8
LG K42/K71; LG Electronics;416;8
Samsung Galaxy Xcover 3; Samsung Electronics;473;5
HTC Evo 3D; HTC;248;7
HTC Raider 4G; HTC;286;5
ZTE Blade G/Lux; ZTE;400;5
OnePlus 9; OnePlus;386;5
Samsung Galaxy Xcover 3; Samsung Electronics;473;2
ZTE Blade G/Lux; ZTE;400;6
Pixel 5; Google;408;9
HTC Desire VC; HTC;360;5
Pixel 2/XL; Google;347;8
Pixel 2/XL; Google;347;2
Oppo Find; Oppo;334;5
ZTE Blade Vec 3G/4G; ZTE;447;2
Samsung Galaxy A5; Samsung Electronics;428;9
HTC Evo 4G LTE; HTC;477;8
Samsung Galaxy A8/Duos; Samsung Electronics;402;7
HTC One S; HTC;317;1
Xiaomi Mi 9 Lite; Xiaomi;417;3
Oppo Find; Oppo;334;8
Samsung Galaxy Xcover 3; Samsung Electronics;473;3
LG K22; LG Electronics;315;2
HTC Evo 3D; HTC;248;7
Samsung Galaxy A5; Samsung Electronics;428;7
ZTE Director; ZTE;432;2
Moto G (2nd generation); Motorola Mobility;206;3
LG K31; LG Electronics;270;8
ZTE Blade G2; ZTE;243;8
Pixel 4a (5G); Google;469;7
Moto G (2nd generation); Motorola Mobility;206;7
Xiaomi Black Shark 2; Xiaomi;258;4
Xiaomi Mi MIX 3 5G; Xiaomi;396;5
LG Velvet; LG Electronics;496;2
Samsung Galaxy A3/Duos; Samsung Electronics;407;4
Moto E (2nd generation); Motorola Mobility;358;2
Samsung Galaxy Note Edge; Samsung Electronics;264;9
ZTE Blade L2; ZTE;244;7
LG Q92 5G; LG Electronics;216;5
Samsung Galaxy Note 5; Samsung Electronics;254;7
Xiaomi Black Shark 2 Pro; Xiaomi;346;3
Samsung Galaxy A3 (2016)/A5 (2016)/A7 (2016); Samsung Electronics;447;9
HTC Evo 3D; HTC;248;5
Samsung Galaxy Xcover 3; Samsung Electronics;473;8
Moto G (3rd generation); Motorola Mobility;206;9
HTC Raider 4G; HTC;286;1
Moto G (2nd generation); Motorola Mobility;206;1
Pixel 4a; Google;289;5
Samsung Galaxy A3 (2016)/A5 (2016)/A7 (2016); Samsung Electronics;447;3
HTC Evo 4G LTE; HTC;477;5
Pixel 5; Google;408;1
HTC Droid Incredible 4G LTE; HTC;290;8
HTC Rezound; HTC;209;2
HTC One X/XL; HTC;352;5
HTC Rhyme; HTC;201;5
HTC One X/XL; HTC;352;6
Samsung Galaxy A3 (2016)/A5 (2016)/A7 (2016); Samsung Electronics;447;9
HTC Amaze 4G; HTC;227;5
HTC One V; HTC;240;3
HTC Evo 4G LTE; HTC;477;6
ZTE Blade Q/Maxi/Mini; ZTE;374;5
Samsung Galaxy A3 (2016)/A5 (2016)/A7 (2016); Samsung Electronics;447;1
HTC One S C2; HTC;462;7
HTC Amaze 4G; HTC;227;8
ZTE Director; ZTE;432;3
OnePlus 9 Pro; OnePlus;483;8
LG Velvet; LG Electronics;496;5
Xiaomi Mi 9/SE; Xiaomi;471;8
LG Stylo 6; LG Electronics;397;9
ZTE Blade III Pro; ZTE;234;6
ZTE Blade L2; ZTE;244;7
HTC Amaze 4G; HTC;227;1
Xiaomi Mi MIX 3 5G; Xiaomi;396;4
Moto G (3rd generation); Motorola Mobility;206;7
Pixel 2/XL; Google;347;3
HTC Droid Incredible 4G LTE; HTC;290;3
Samsung Galaxy S6/Edge; Samsung Electronics;274;4
Moto X Style; Motorola Mobility;232;9
ZTE Blade Vec 3G/4G; ZTE;447;8
OnePlus Nord N100; OnePlus;397;7
HTC One X/XL; HTC;352;6
HTC Droid Incredible 4G LTE; HTC;290;7
OnePlus Nord N10 5G; OnePlus;414;4
Samsung Galaxy A8/Duos; Samsung Electronics;402;8
Pixel 5; Google;408;6
Samsung Galaxy A3/Duos; Samsung Electronics;407;9
LG K42/K71; LG Electronics;416;9
HTC Amaze 4G; HTC;227;6
HTC Sensation XE; HTC;481;5
HTC Explorer; HTC;396;5
Samsung Galaxy A7/Duos; Samsung Electronics;426;9
LG Q92 5G; LG Electronics;216;8
Pixel 4/XL; Google;410;4
HTC Evo 4G LTE; HTC;477;1
Samsung Galaxy S7/Edge; Samsung Electronics;373;7
HTC Rhyme; HTC;201;4
Pixel 3/XL; Google;272;7
BlackBerry Key2; BlackBerry Mobile;247;3
Moto E (2nd generation); Motorola Mobility;358;1
LG Q61; LG Electronics;326;9
HTC Amaze 4G; HTC;227;8
Samsung Galaxy Note 5; Samsung Electronics;254;9
Xiaomi Mi MIX 3 5G; Xiaomi;396;4
Pixel 5; Google;408;3
HTC Desire V; HTC;359;7
Moto X Play; Motorola Mobility;437;6
ZTE Blade III Pro; ZTE;234;2
Xiaomi Black Shark 2; Xiaomi;258;5
Samsung Galaxy A5; Samsung Electronics;428;5
OnePlus 8T; OnePlus;328;4
ZTE Blade C V807; ZTE;229;5
ZTE Blade C V807; ZTE;229;6
Pixel 4a; Google;289;4
HTC Sensation XE; HTC;481;3
HTC Evo 3D; HTC;248;6
Samsung Galaxy Note Edge; Samsung Electronics;264;3
LG Q61; LG Electronics;326;4
OnePlus 8T; OnePlus;328;2
Samsung Galaxy S7/Edge; Samsung Electronics;373;2
LG Velvet; LG Electronics;496;4
Xiaomi Mi 9 Pro/Pro 5G; Xiaomi;350;3
Pixel 2/XL; Google;347;5
HTC Rezound; HTC;209;7
Xiaomi Black Shark 2 Pro; Xiaomi;346;7
HTC Evo Design 4G; HTC;491;3
Moto G (3rd generation); Motorola Mobility;206;5
BlackBerry KeyOne; BlackBerry Mobile;346;9
Samsung Galaxy A5 Duos; Samsung Electronics;200;4
Samsung Galaxy S6 Edge+; Samsung Electronics;434;2
OnePlus 9; OnePlus;386;6
Motorola Droid Turbo; Motorola Mobility;444;5
ZTE Blade Vec 3G/4G; ZTE;447;3
HTC Amaze 4G; HTC;227;5
Xiaomi Mi 10/Pro; Xiaomi;366;2
LG K31; LG Electronics;270;2
BlackBerry Motion; BlackBerry Mobile;383;2
Moto E (2nd generation); Motorola Mobility;358;4
Samsung Galaxy Note Edge; Samsung Electronics;264;8
ZTE Blade III Pro; ZTE;234;3
Samsung Galaxy Xcover 3; Samsung Electronics;473;4
ZTE Blade G/Lux; ZTE;400;1
ZTE Blade S6; ZTE;219;7
Pixel 4a; Google;289;9
Moto E (1st generation); Motorola Mobility;353;9
ZTE Blade Q/Maxi/Mini; ZTE;374;2
Pixel 2/XL; Google;347;7
HTC Raider 4G; HTC;286;9
Moto E3; Motorola Mobility;341;4
Xiaomi Mi Note 10/Pro; Xiaomi;234;6
BlackBerry Aurora; BlackBerry Mobile;429;2
Pixel 2/XL; Google;347;8
Samsung Galaxy S6 Edge+; Samsung Electronics;434;2
LG K22; LG Electronics;315;4
Moto E (1st generation); Motorola Mobility;353;5
Samsung Galaxy Note Edge; Samsung Electronics;264;6
HTC Sensation XL; HTC;309;3
ZTE Blade V; ZTE;360;7
ZTE Blade Vec 3G/4G; ZTE;447;5
Pixel 3a/XL; Google;365;8
LG K31; LG Electronics;270;1
Samsung Galaxy Note 5; Samsung Electronics;254;2
Moto E (2nd generation); Motorola Mobility;358;1
ZTE Blade L2; ZTE;244;7
Moto X Style; Motorola Mobility;232;9
Samsung Galaxy A5 Duos; Samsung Electronics;200;1
Moto G (2nd generation); Motorola Mobility;206;5
Pixel 4a; Google;289;7
LG Q92 5G; LG Electronics;216;4
OnePlus 7T; OnePlus;341;4
Moto E3; Motorola Mobility;341;7
Samsung Galaxy A3 (2016)/A5 (2016)/A7 (2016); Samsung Electronics;447;2
Moto X (2nd generation); Motorola Mobility;286;1
Moto X Style; Motorola Mobility;232;3
HTC Evo Design 4G; HTC;491;9
OnePlus Nord; OnePlus;425;8
ZTE Blade G V880G; ZTE;274;2
Moto E3; Motorola Mobility;341;7
Xiaomi Mi Note 10/Pro; Xiaomi;234;1
Moto G (2nd generation); Motorola Mobility;206;9
ZTE Blade Q/Maxi/Mini; ZTE;374;5
Moto G (3rd generation); Motorola Mobility;206;8
Pixel 5; Google;408;5
ZTE Blade C V807; ZTE;229;3
OnePlus 7T Pro; OnePlus;329;4
HTC Raider 4G; HTC;286;1
Xiaomi Mi Note 10/Pro; Xiaomi;234;1
Samsung Galaxy A8/Duos; Samsung Electronics;402;8
HTC Sensation XE; HTC;481;8
Samsung Galaxy A9 (2016); Samsung Electronics;300;6
HTC Explorer; HTC;396;6
HTC Salsa; HTC;257;4
ZTE Blade S6; ZTE;219;8
LG K22; LG Electronics;315;6
HTC Desire VC; HTC;360;7
Pixel 2/XL; Google;347;2
BlackBerry Key2; BlackBerry Mobile;247;9
HTC Rezound; HTC;209;3
Samsung Galaxy A5 Duos; Samsung Electronics;200;6
ZTE Blade G2; ZTE;243;2
HTC One S C2; HTC;462;1
OnePlus 9 Pro; OnePlus;483;5
Samsung Galaxy Note Edge; Samsung Electronics;264;4
HTC One X/XL; HTC;352;1
Pixel 3/XL; Google;272;8
OnePlus 8; OnePlus;283;3
Pixel 5; Google;408;7
Samsung Galaxy Note 5; Samsung Electronics;254;9
Samsung Galaxy S6/Edge; Samsung Electronics;274;5
LG Velvet; LG Electronics;496;3
Moto E (2nd generation); Motorola Mobility;358;8
OnePlus 8; OnePlus;283;8
Samsung Galaxy Note Edge; Samsung Electronics;264;4
HTC Salsa; HTC;257;5
BlackBerry Motion; BlackBerry Mobile;383;5
HTC Explorer; HTC;396;3
BlackBerry Motion; BlackBerry Mobile;383;9
Samsung Galaxy Note Edge; Samsung Electronics;264;6
HTC Evo Design 4G; HTC;491;4
Motorola Droid Turbo; Motorola Mobility;444;4
BlackBerry Motion; BlackBerry Mobile;383;5
HTC Explorer; HTC;396;7
BlackBerry Aurora; BlackBerry Mobile;429;6
OnePlus Nord; OnePlus;425;2
Moto X Style; Motorola Mobility;232;3
ZTE Director; ZTE;432;5
Xiaomi Black Shark 2; Xiaomi;258;5
Xiaomi Mi 9 Lite; Xiaomi;417;2
ZTE Blade L2; ZTE;244;1
HTC Explorer; HTC;396;2
Samsung Galaxy S6 Edge+; Samsung Electronics;434;7
Xiaomi Black Shark 2 Pro; Xiaomi;346;4
ZTE Blade G2; ZTE;243;9
ZTE Blade G V880G; ZTE;274;1
OnePlus 8 Pro; OnePlus;390;8
LG Stylo 6; LG Electronics;397;4
HTC Desire C; HTC;199;3
HTC Evo 3D; HTC;248;9
HTC Sensation XE; HTC;481;9
HTC Desire VC; HTC;360;2
LG Q61; LG Electronics;326;5
LG K42/K71; LG Electronics;416;5
Pixel 4a; Google;289;8
Samsung Galaxy A3/Duos; Samsung Electronics;407;9
Moto E (2nd generation); Motorola Mobility;358;3
HTC Evo 3D; HTC;248;8
Xiaomi Mi 9T Pro; Xiaomi;430;2
HTC One S; HTC;317;3
OnePlus Nord N100; OnePlus;397;9
Pixel 4/XL; Google;410;9
ZTE Blade Q/Maxi/Mini; ZTE;374;8
Pixel 5; Google;408;1
Xiaomi Mi Note 10/Pro; Xiaomi;234;6
HTC Explorer; HTC;396;6
Xiaomi Black Shark 2 Pro; Xiaomi;346;8
ZTE Blade V; ZTE;360;3
OnePlus 7T Pro; OnePlus;329;3
Moto X Play; Motorola Mobility;437;7
Samsung Galaxy A5 Duos; Samsung Electronics;200;4
Xiaomi Mi 9 Lite; Xiaomi;417;8
Moto G4; Motorola Mobility;339;6
Pixel 3a/XL; Google;365;2
Moto G (3rd generation); Motorola Mobility;206;8
LG Stylo 6; LG Electronics;397;1
HTC Sensation XL; HTC;309;3
HTC Evo Design 4G; HTC;491;9
HTC Raider 4G; HTC;286;8
ZTE Blade G V880G; ZTE;274;2
Samsung Galaxy A5; Samsung Electronics;428;6
HTC Sensation XE; HTC;481;4
HTC Droid Incredible 4G LTE; HTC;290;4
BlackBerry Key2; BlackBerry Mobile;247;7
LG K22; LG Electronics;315;9
BlackBerry Aurora; BlackBerry Mobile;429;7
HTC Raider 4G; HTC;286;4
HTC Evo Design 4G; HTC;491;7
Samsung Galaxy A3 (2016)/A5 (2016)/A7 (2016); Samsung Electronics;447;2
Xiaomi Mi 9/SE; Xiaomi;471;8
ZTE Blade G2; ZTE;243;2
Pixel 2/XL; Google;347;6
HTC Evo Design 4G; HTC;491;8
HTC One X/XL; HTC;352;9
OnePlus Nord N10 5G; OnePlus;414;9
Moto G (3rd generation); Motorola Mobility;206;2
HTC Desire V; HTC;359;6
Samsung Galaxy A3/Duos; Samsung Electronics;407;1
HTC One S; HTC;317;6
HTC Desire C; HTC;199;3
OnePlus Nord; OnePlus;425;2
Pixel 3a/XL; Google;365;4
HTC Rezound; HTC;209;5
ZTE Blade G2; ZTE;243;3
Xiaomi Mi 9 Lite; Xiaomi;417;3
Samsung Galaxy A8/Duos; Samsung Electronics;402;9
Moto E (2nd generation); Motorola Mobility;358;6
ZTE Director; ZTE;432;8
Pixel 3/XL; Google;272;5
Xiaomi Mi 10/Pro; Xiaomi;366;1
HTC Rhyme; HTC;201;2
Moto G (3rd generation); Motorola Mobility;206;7
ZTE Blade C V807; ZTE;229;9
ZTE Blade S6; ZTE;219;3
OnePlus 7T Pro; OnePlus;329;5
Pixel 3/XL; Google;272;8
LG Q92 5G; LG Electronics;216;5
Xiaomi Mi 9 Lite; Xiaomi;417;4
LG Q61; LG Electronics;326;3
HTC Desire V; HTC;359;4
Samsung Galaxy S6 Edge+; Samsung Electronics;434;5
HTC Sensation XE; HTC;481;9
Samsung Galaxy A5; Samsung Electronics;428;5
HTC Desire C; HTC;199;1
Xiaomi Mi MIX 3 5G; Xiaomi;396;3
Samsung Galaxy Note Edge; Samsung Electronics;264;7
OnePlus 7T Pro; OnePlus;329;3
OnePlus 7T Pro; OnePlus;329;4
Samsung Galaxy A7/Duos; Samsung Electronics;426;3
Pixel 4/XL; Google;410;5
Moto X Style; Motorola Mobility;232;9
Moto X (2nd generation); Motorola Mobility;286;8
BlackBerry Motion; BlackBerry Mobile;383;5
HTC Explorer; HTC;396;8
ZTE Blade S6; ZTE;219;4
Pixel 4a; Google;289;2
Moto G4; Motorola Mobility;339;8
HTC One V; HTC;240;6
HTC One X/XL; HTC;352;4
Xiaomi Mi 10/Pro; Xiaomi;366;4
Xiaomi Mi MIX 3 5G; Xiaomi;396;9
HTC Droid Incredible 4G LTE; HTC;290;2
HTC Rhyme; HTC;201;3
OnePlus Nord; OnePlus;425;3
HTC Evo 4G LTE; HTC;477;2
HTC Desire V; HTC;359;2
Xiaomi Mi 10/Pro; Xiaomi;366;4
OnePlus Nord N100; OnePlus;397;8
OnePlus 7T Pro; OnePlus;329;3
ZTE Blade G2; ZTE;243;6
LG K31; LG Electronics;270;2
HTC Amaze 4G; HTC;227;5
Pixel 3/XL; Google;272;3
HTC One V; HTC;240;1
LG Stylo 6; LG Electronics;397;8
Xiaomi Mi A3; Xiaomi;253;9
ZTE Blade S6; ZTE;219;9
ZTE Director; ZTE;432;4
HTC Evo Design 4G; HTC;491;4
HTC Evo Design 4G; HTC;491;9
Xiaomi Mi 10/Pro; Xiaomi;366;1
Samsung Galaxy A9 (2016); Samsung Electronics;300;1
HTC One V; HTC;240;2
LG Stylo 6; LG Electronics;397;2
BlackBerry Motion; BlackBerry Mobile;383;9
ZTE Blade G V880G; ZTE;274;3
Samsung Galaxy Xcover 3; Samsung Electronics;473;7
Xiaomi Mi 9T Pro; Xiaomi;430;5
Motorola Droid Turbo; Motorola Mobility;444;9
Samsung Galaxy A5; Samsung Electronics;428;8
LG Q61; LG Electronics;326;7
Samsung Galaxy A7/Duos; Samsung Electronics;426;2
LG Q61; LG Electronics;326;2
OnePlus 7T Pro; OnePlus;329;3
OnePlus Nord N100; OnePlus;397;6
HTC Rhyme; HTC;201;2
Pixel 3a/XL; Google;365;8
Samsung Galaxy A8/Duos; Samsung Electronics;402;5
ZTE Blade G/Lux; ZTE;400;9
Moto E (2nd generation); Motorola Mobility;358;2
ZTE Blade G2; ZTE;243;6
ZTE Blade S6; ZTE;219;1
Oppo Find; Oppo;334;7
HTC Desire V; HTC;359;1
ZTE Blade V; ZTE;360;7
ZTE Director; ZTE;432;1
LG K42/K71; LG Electronics;416;9
OnePlus 7T Pro; OnePlus;329;1
HTC Desire C; HTC;199;5
HTC Explorer; HTC;396;3
HTC Raider 4G; HTC;286;9
Pixel 3a/XL; Google;365;9
HTC Evo 4G LTE; HTC;477;4
Samsung Galaxy S6/Edge; Samsung Electronics;274;7
Moto E (1st generation); Motorola Mobility;353;8
Pixel 2/XL; Google;347;7
Moto E3; Motorola Mobility;341;2
LG Velvet; LG Electronics;496;2
HTC Desire C; HTC;199;8
HTC Sensation XE; HTC;481;8
HTC Rezound; HTC;209;9
Xiaomi Mi A3; Xiaomi;253;2
HTC Evo 4G LTE; HTC;477;3
ZTE Blade C V807; ZTE;229;5
Xiaomi Mi 9T Pro; Xiaomi;430;1
Xiaomi Mi Note 10/Pro; Xiaomi;234;5
HTC One V; HTC;240;6
Pixel 5; Google;408;3
ZTE Blade V; ZTE;360;4
HTC Explorer; HTC;396;7
OnePlus Nord; OnePlus;425;7
Samsung Galaxy S7/Edge; Samsung Electronics;373;8
Oppo Find; Oppo;334;1
Xiaomi Mi 9T; Xiaomi;388;1
HTC Amaze 4G; HTC;227;2
Samsung Galaxy A5; Samsung Electronics;428;5
ZTE Blade G2; ZTE;243;2
HTC Evo 3D; HTC;248;4
HTC Amaze 4G; HTC;227;3
OnePlus 8; OnePlus;283;8
BlackBerry Key2; BlackBerry Mobile;247;5
ZTE Blade G V880G; ZTE;274;2
HTC Amaze 4G; HTC;227;8
Moto G4; Motorola Mobility;339;3
HTC Amaze 4G; HTC;227;2
OnePlus 7T; OnePlus;341;7
OnePlus 8 Pro; OnePlus;390;1
Moto X (2nd generation); Motorola Mobility;286;3
Moto X Play; Motorola Mobility;437;3
BlackBerry Aurora; BlackBerry Mobile;429;9
ZTE Blade Vec 3G/4G; ZTE;447;8
Samsung Galaxy A3/Duos; Samsung Electronics;407;2
HTC One S; HTC;317;1
LG Velvet; LG Electronics;496;4
LG K31; LG Electronics;270;4
Xiaomi Mi Note 10/Pro; Xiaomi;234;3
HTC One S; HTC;317;5
Xiaomi Mi 9/SE; Xiaomi;471;7
Pixel 4a (5G); Google;469;5
Moto G (3rd generation); Motorola Mobility;206;4
Moto X Style; Motorola Mobility;232;5
Samsung Galaxy A9 (2016); Samsung Electronics;300;9
Moto X Play; Motorola Mobility;437;6
Xiaomi Black Shark 2 Pro; Xiaomi;346;4
HTC Amaze 4G; HTC;227;8
Pixel 2/XL; Google;347;3
OnePlus 7T Pro; OnePlus;329;6
LG K31; LG Electronics;270;7
HTC One V; HTC;240;2
OnePlus 8; OnePlus;283;4
HTC Desire V; HTC;359;8
Xiaomi Mi 9T; Xiaomi;388;8
Oppo Find; Oppo;334;9
LG K31; LG Electronics;270;6
OnePlus Nord N10 5G; OnePlus;414;7
HTC Sensation XL; HTC;309;3
ZTE Blade G2; ZTE;243;8
OnePlus Nord; OnePlus;425;4
ZTE Director; ZTE;432;4
ZTE Blade Q/Maxi/Mini; ZTE;374;5
HTC Evo 3D; HTC;248;3
ZTE Blade S6; ZTE;219;3
HTC Desire VC; HTC;360;3
HTC Evo 3D; HTC;248;6
Xiaomi Mi 9/SE; Xiaomi;471;3
HTC Rhyme; HTC;201;1
Xiaomi Mi 9 Lite; Xiaomi;417;5
Xiaomi Mi 9T Pro; Xiaomi;430;9
Xiaomi Mi MIX 3 5G; Xiaomi;396;7
ZTE Blade C V807; ZTE;229;3
Moto G (2nd generation); Motorola Mobility;206;8
OnePlus 9; OnePlus;386;9
BlackBerry Aurora; BlackBerry Mobile;429;1
Moto E (2nd generation); Motorola Mobility;358;9
ZTE Blade Vec 3G/4G; ZTE;447;2
Moto E (1st generation); Motorola Mobility;353;6
LG K42/K71; LG Electronics;416;9
Pixel 4a; Google;289;1
Moto X Play; Motorola Mobility;437;4
ZTE Blade V; ZTE;360;7
Samsung Galaxy Note 5; Samsung Electronics;254;1
HTC One X/XL; HTC;352;2
ZTE Blade G2; ZTE;243;8
Moto X (2nd generation); Motorola Mobility;286;7
LG K42/K71; LG Electronics;416;5
HTC Droid Incredible 4G LTE; HTC;290;7
HTC Rhyme; HTC;201;9
ZTE Director; ZTE;432;9
LG Q92 5G; LG Electronics;216;3
Samsung Galaxy A8/Duos; Samsung Electronics;402;9
Samsung Galaxy Xcover 3; Samsung Electronics;473;3
ZTE Blade G2; ZTE;243;2
BlackBerry Key2; BlackBerry Mobile;247;1
Xiaomi Black Shark 2; Xiaomi;258;8
HTC Rezound; HTC;209;3
ZTE Blade G V880G; ZTE;274;3
OnePlus 9 Pro; OnePlus;483;8
HTC Desire VC; HTC;360;1
ZTE Blade V; ZTE;360;3
Moto X (2nd generation); Motorola Mobility;286;8
LG K31; LG Electronics;270;4
Samsung Galaxy Note 5; Samsung Electronics;254;4
Xiaomi Mi 9 Lite; Xiaomi;417;6
ZTE Blade G2; ZTE;243;3
Xiaomi Mi MIX 3 5G; Xiaomi;396;1
LG Stylo 6; LG Electronics;397;1
HTC Evo 3D; HTC;248;8
LG Stylo 6; LG Electronics;397;5
BlackBerry KeyOne; BlackBerry Mobile;346;9
Moto X Style; Motorola Mobility;232;1
LG Velvet; LG Electronics;496;5
Samsung Galaxy A3/Duos; Samsung Electronics;407;9
OnePlus 8T; OnePlus;328;3
ZTE Blade G/Lux; ZTE;400;9
OnePlus Nord N10 5G; OnePlus;414;4
OnePlus 9; OnePlus;386;2
LG K31; LG Electronics;270;5
Xiaomi Mi 9/SE; Xiaomi;471;7
HTC Amaze 4G; HTC;227;1
Xiaomi Mi MIX 3 5G; Xiaomi;396;6
BlackBerry Key2; BlackBerry Mobile;247;2
Samsung Galaxy A9 (2016); Samsung Electronics;300;3
Samsung Galaxy A9 (2016); Samsung Electronics;300;8
HTC Explorer; HTC;396;1
Moto E3; Motorola Mobility;341;8
OnePlus 9 Pro; OnePlus;483;7
Xiaomi Mi 9/SE; Xiaomi;471;2
HTC One S C2; HTC;462;1
HTC One S; HTC;317;7
HTC Evo 4G LTE; HTC;477;2
Xiaomi Black Shark 2 Pro; Xiaomi;346;4
OnePlus 7T Pro; OnePlus;329;7
Xiaomi Mi Note 10/Pro; Xiaomi;234;5
Xiaomi Mi 9/SE; Xiaomi;471;5
Samsung Galaxy A9 (2016); Samsung Electronics;300;1
HTC Rhyme; HTC;201;4
Samsung Galaxy Note 5; Samsung Electronics;254;7
Samsung Galaxy S7/Edge; Samsung Electronics;373;2
OnePlus 8; OnePlus;283;1
OnePlus Nord; OnePlus;425;4
Moto E (2nd generation); Motorola Mobility;358;6
LG K42/K71; LG Electronics;416;7
OnePlus 7T Pro; OnePlus;329;8
BlackBerry KeyOne; BlackBerry Mobile;346;1
ZTE Blade V; ZTE;360;6
